words,frequency
abaaldaran,1
abaaldarnaan,2
abaaldarnaansho,1
abaaldarro,1
abaaldhac,2
abaaldhicid,1
abaalgud,6
abaalgudid,2
abaalgudo,1
abaalhay,1
abaali,4
abaaliyo,5
abaalkaa,5
abaalkaad,5
abaalkaaga,3
abaalkaan,1
abaalkana,5
abaalkee,1
abaalkeeda,3
abaalkeybaa,3
abaalkii,7
abaalkiisa,1
abaalkiisu,1
abaalmari,1
abaalmarin,5
abaalmaris,1
abaalmariyo,1
abaalo,11
abaaloo,7
abaar,56
abaara,1
abaaraa,1
abaaraan,3
abaaraayee,7
abaaraha,7
abaarahan,1
abaaray,7
abaaraybaa,1
abaarayn,1
abaaraysad,1
abaaraysan,1
abaaraysasho,4
abaaraysi,1
abaaraysii,1
abaaraysiin,1
abaaraysnaan,1
abaaraysnaansho,1
abaarayso,2
abaare,1
abaaree,9
abaareed,29
abaareedka,3
abaareen,1
abaari,8
abaariyo,17
abaarna,1
abaarnaa,1
abaaroo,11
abaarow,1
abaarsad,1
abaarsada,3
abaarsaday,7
abaarsado,5
abaarsadoo,1
abaarsasho,1
abaarsatee,1
abaarso,2
abaarta,1
abaartana,5
abaartay,5
abaartii,1
abaartiyo,7
abaartoo,3
abaartoon,3
abaartu,1
abaartuye,1
abaaruu,3
abaaseere,1
abaay,1
abaayeey,3
abaayo,49
abaayooy,9
abab,5
ababi,9
ababid,5
ababin,4
ababintaadee,1
ababis,2
ababisaay,1
ababshaan,1
ababshiyo,1
ababtaa,1
abad,5
abadan,1
abaddar,1
abadiyaa,1
abadkood,3
abakaar,1
abaqaal,1
abartee,1
abasax,1
abasaxi,1
abasaxnaan,1
abasaxnaansho,1
abasaxsan,2
abasaxsanaan,3
abasaxsanaansho,1
abashuqle,2
abashuqlee,2
abaydimi,1
abaydin,2
abaydinimo,1
abaydintaa,3
abbaan,2
abbaanduul,1
abbaanduule,1
abbaansasho,1
abbaansi,1
abbaanso,1
abbaar,4
abbaaran,11
abbaarid,8
abbaaridda,1
abbaarka,4
abbaarmid,1
abbaarnaan,1
abbaarnaansho,1
abbaarqaado,1
abbaarsii,1
abbaartoo,1
abbaas,1
abbaato,1
abbaay,4
abbaaye,2
abbaayguddoy,1
abbaayo,5
abbaseere,1
abboow,1
abboowe,2
abbuul,1
abc,1
abdaa,1
abdala,7
abdalla,1
abdi,151
abdiaziiz,19
abdifataah,1
abdihakim,7
abdijibar,25
abdikaaba,1
abdikhadar,7
abdilaahi,29
abdilahi,7
abdinaasir,5
abdinasir,29
abdinuur,45
abdiqaadir,85
abdirahmaan,1
abdirahman,41
abdirashiid,1
abdisalaad,11
abdisalaan,13
abdiwahaab,9
abdo,5
abdow,17
abdulahi,39
abdull,1
abdulqaadir,5
abdulqadir,3
abeer,1
abeerkiisa,1
abees,3
abeesada,14
abeesadaan,3
abeesajilfaaley,1
abeesbaa,3
abeesee,3
abeesiyo,1
abeeskaa,1
abeeskow,1
abeeso,5
abeesojufaaley,1
abeesolugaley,1
abeesoo,1
abeesow,1
abesee,3
abeydimo,1
abeydin,1
abeydina,1
abeystee,1
abhi,2
abhin,3
abhis,1
abid,24
abidkaa,9
abidkaaba,1
abidkaana,1
abidkeed,1
abidkeey,5
abidkii,3
abidkiiba,5
abidkood,5
abiib,9
abiid,1
abin,3
abinayaa,3
abitey,2
abjac,1
abjad,1
abjed,1
abka,1
abkiisa,3
abkow,1
ablaablaynta,1
abley,2
abnaq,1
abogaa,1
aboodi,1
aboodigu,1
aboodiya,3
aboor,7
aboorba,3
abooree,1
aboorka,4
aboorkiyo,1
aboorku,1
aboorkuna,1
abooto,2
abootoidabbadis,1
aboow,5
aboowe,85
aboowo,3
aboowoow,5
aboowyaal,1
about,9
abow,1
abqo,4
abraar,2
abraarid,2
abraarsii,1
abraarsiin,1
abraaruu,1
abriil,1
abriile,1
abris,4
abriska,7
abshir,25
abshireeysto,1
abshirey,3
abshirow,3
abshirtaada,1
absigeyga,3
absiisa,1
abtaay,3
abtarsiinyo,1
abti,21
abtiga,1
abtigaa,3
abtigood,1
abtiri,1
abtirin,2
abtiris,2
abtirsad,1
abtirsasho,2
abtirsi,2
abtirsiimo,10
abtirsiino,1
abtirsiinyo,5
abtirso,1
abtiyo,1
abtiyow,2
abu,2
abukaato,1
abur,5
aburaas,3
aburi,2
aburin,1
aburka,7
aburkoo,1
aburshaan,1
aburshuqlayn,1
aburshuqle,1
aburshuqlee,1
abuteeristi,9
abuuddocan,1
abuuddoocan,1
abuukar,11
abuullan,1
abuur,17
abuura,4
abuuraa,8
abuuraan,1
abuuraas,35
abuuraay,1
abuuran,17
abuurantee,3
abuurantoo,1
abuurasho,1
abuuray,19
abuuraya,1
abuurayee,7
abuurayo,1
abuurayoo,5
abuure,3
abuuree,49
abuureen,5
abuureey,1
abuurey,5
abuuri,4
abuurid,43
abuurin,3
abuurine,1
abuuris,2
abuuritaan,1
abuuriyo,1
abuurka,9
abuurkeygii,1
abuurku,1
abuurma,4
abuurmaan,1
abuurme,1
abuurmee,3
abuurmeeysee,1
abuurmid,5
abuurmo,2
abuurmoo,5
abuurnaan,1
abuurnaansho,1
abuurnay,3
abuurney,5
abuurnid,3
abuurniyo,3
abuurnoo,1
abuuro,21
abuuroo,17
abuuroow,1
abuurow,1
abuurta,2
abuurtaa,7
abuurtaan,3
abuurtaay,1
abuurtan,3
abuurtay,19
abuurtee,13
abuurtey,1
abuurtii,1
abuurtiisu,5
abuurtiisuu,1
abuurtiyo,3
abuurto,3
abuurtoo,13
abuuryeey,3
abuuryoo,1
abvious,1
abwaan,29
abwaanad,1
abwaanada,7
abwaanadi,5
abwaanadu,7
abwaaniyo,1
abwaanka,1
abwaankaay,3
abwaankii,3
abwaanku,4
abwan,7
abxad,2
abxadaadi,1
abyamid,1
abyan,4
abyanka,2
abyin,1
abyinaynta,2
abyineed,3
abyood,1
abyoon,3
abyoone,10
abyooneyaasha,4
abyuunkaaga,1
ac,9
acode,1
across,1
act,1
actually,1
acuudubillaahi,1
acuudubillaysasho,3
acuudubilleysasho,1
acuudubilleysi,1
acuudubilleyso,2
acyuun,1
ad,35
ada,1
adaa,622
adaaa,1
adaab,3
adaaba,15
adaadax,1
adaadumo,1
adaadun,1
adaahi,3
adaan,319
adaanse,3
adaarbiciid,1
adaase,3
adaay,1
adaaye,7
adablaagi,1
adadag,5
adaddaah,2
adaddaahid,1
adag,390
adaga,3
adagaa,19
adagee,1
adagey,1
adagi,3
adagna,1
adagnahay,1
adagtahay,28
adagtahey,1
adagtihiin,1
adagyahay,5
adagyihiin,1
adakeey,1
adalaan,3
adam,1
adamaddoon,1
adame,1
adamiyeysasho,1
adamiyeysi,1
adamiyeyso,1
adan,305
adana,3
adar,1
adarbiciid,1
adatay,12
aday,77
adayg,6
adayga,3
adaygoon,7
adaygyahay,1
adba,27
addaa,5
addaan,1
addagaa,1
adddun,3
adddunyada,3
addeec,2
addeecid,2
addeecis,1
addeecsan,1
addeecsanaan,1
addeecsanaansho,1
addicted,1
addiga,1
addiguna,9
addimaad,1
addimaale,4
addimada,13
addimadaydee,1
addimey,1
addimid,3
addimo,4
addin,32
adding,1
addinka,2
addinmaal,1
addoo,1
addoomow,1
addoomuhu,1
addoon,10
addoonsad,1
addoonsadaan,1
addoonsasho,4
addoonsi,1
addoonso,1
addoow,7
addooy,7
addunaydu,1
addunka,11
addunkaba,1
addunkiyo,1
addunyada,5
addunyadu,1
addunyee,1
addunyo,1
addunyooy,7
adduun,89
adduuna,1
adduunayda,7
adduunba,1
adduunbaa,3
adduuniyo,3
adduunka,40
adduunkaa,13
adduunkaan,9
adduunkaay,13
adduunkaba,1
adduunkan,3
adduunkana,3
adduunkee,13
adduunkiyo,17
adduunkoo,1
adduunkoow,1
adduunku,3
adduunkuna,7
adduunkuye,3
adduunya,1
adduunyada,161
adduunyadaaaaaa,1
adduunyadan,13
adduunyadii,1
adduunyadiisee,1
adduunyadu,72
adduunyda,1
adduunyee,3
adduunyeed,1
adduunyiyo,3
adduunykaay,1
adduunyo,15
adduunyoo,1
adduunyooy,73
adduunyooyo,1
adeecaday,1
adeecdee,1
adeeci,1
adeeco,1
adeecoo,3
adeeg,8
adeega,14
adeegaa,1
adeegaad,1
adeegasado,1
adeegay,2
adeegayee,3
adeege,7
adeegee,5
adeegga,4
adeegid,2
adeegine,1
adeegnaayee,3
adeegnimiyo,1
adeego,6
adeegoo,9
adeegoon,3
adeegsad,1
adeegsada,2
adeegsadaa,40
adeegsadaan,3
adeegsaday,7
adeegsado,88
adeegsan,13
adeegsanaayo,6
adeegsanayo,21
adeegsasho,10
adeegsato,1
adeegsi,1
adeegsiga,6
adeegsigoodu,2
adeegso,1
adeegtee,1
adeegtiyo,1
adeegto,9
adeegyada,22
adeegyo,4
adeer,2
adeereey,3
adeeriyo,1
adeerka,2
adeerkaa,9
adeeryo,1
adeey,3
aden,7
adey,43
adeygee,1
adeygiyo,1
adeygoo,1
adeygtee,3
adhax,1
adhaxda,17
adhaxdaada,1
adhaxdeeni,1
adhaxdii,5
adhaxdiyo,9
adhaxdoo,1
adhaxduu,1
adhi,16
adhiga,1
adhiguna,1
adhiya,1
adi,140
adiga,333
adigaa,304
adigaaba,1
adigaan,85
adigaanku,1
adigana,17
adigay,41
adigayska,1
adigee,23
adigeee,3
adigeey,9
adigey,41
adiggu,3
adigii,23
adigiyo,45
adigoo,124
adigoon,61
adigu,70
adiguan,1
adiguba,13
adiguna,243
adigunaa,1
adigununa,3
adiguu,7
adiguun,13
adiguunbaa,1
adiguunbey,3
adiguye,9
adii,1
adiii,1
adilee,3
adimaan,1
adimada,17
adimadaa,3
adimadaan,1
adimadayda,1
adimadaydiyo,1
adimadaydu,1
adimadeena,1
adimadeydii,1
adimadii,1
adimadiyo,3
adimadu,7
adimaduu,1
adin,21
adina,3
adiniyo,1
adinka,1
adiye,1
adiyo,7
adiyoo,1
adka,3
adkaa,4
adkaada,4
adkaadaa,1
adkaadaan,1
adkaaday,6
adkaadeen,2
adkaadey,7
adkaadiyo,1
adkaado,3
adkaadoo,1
adkaan,53
adkaanee,3
adkaanin,3
adkaansho,3
adkaanta,1
adkaata,3
adkaatay,4
adkaatee,11
adkaateen,2
adkaato,1
adkaayee,7
adkaha,1
adkahay,1
adkayd,4
adkaydeen,1
adkayeen,1
adkayn,34
adkaynay,1
adkaynayaaye,1
adkaynayo,1
adkaynta,2
adkaysad,1
adkaysan,15
adkaysasho,4
adkaysee,1
adkaysi,22
adkayso,1
adkaysoo,5
adkaysta,1
adkaystaan,3
adkaystee,3
adkaysto,5
adkaystoo,5
adke,61
adkee,18
adkeey,5
adkeeya,10
adkeeyaa,25
adkeeyay,2
adkeeyee,5
adkeeyey,3
adkeeygaay,1
adkeeyo,12
adkeeyoo,19
adkeeysan,13
adkeeysatidee,1
adkeeysaye,1
adkeeyso,1
adkeeystayoo,1
adkey,1
adkeyaa,1
adkeyaasha,1
adkeydiyo,3
adkeyn,8
adkeynayaa,13
adkeynayo,1
adkeysan,39
adkeysanaayoo,3
adkeysanayseen,1
adkeysi,7
adkeysiga,1
adkeysoo,7
adkeystaa,11
adkeystee,7
adkeysteen,1
adkeystoo,1
adkoo,7
adkoow,7
adkow,18
adkuhu,2
adlee,7
admigu,1
adna,388
ado,3
adogaa,3
adoo,280
adoogaaa,1
adoogey,1
adoomaha,1
adoon,175
adoonbaan,1
adoonsan,3
adoonsiga,7
adoonyooy,1
adoosa,3
adoowgey,1
adow,1
adowgeey,1
adun,1
adunbaa,1
adunbay,1
adunyada,1
aduu,25
aduumbaa,7
aduun,57
aduunayada,1
aduunba,1
aduunbaa,15
aduunbaan,3
aduunbeey,1
aduunee,1
aduunka,21
aduunkaa,3
aduunkaay,29
aduunkaba,3
aduunkana,5
aduunkaynu,1
aduunkee,11
aduunkeygii,1
aduunkiyo,9
aduunkoo,3
aduunkoow,15
aduunku,3
aduunyada,69
aduunyadaa,5
aduunyadaan,1
aduunyadan,3
aduunyadayee,3
aduunyadii,1
aduunyadiyo,3
aduunyadu,17
aduunyee,5
aduunyiyo,1
aduunyo,3
aduunyooy,9
aduuunbaa,1
adyad,2
adyadee,1
aedes,1
af,243
afaada,1
afaaf,2
afadaan,1
afadii,3
afaf,5
afafka,7
afafkaad,3
afagaal,1
afagaale,1
afaggaal,1
afaha,1
afar,167
afaraad,6
afaree,1
afareyn,1
afareys,1
afareysad,1
afareysasho,2
afareysi,1
afareyso,1
afargees,1
afarqaad,3
afarqaadid,3
afarqaadis,1
afarqaadlays,1
afarqaadle,1
afarran,1
afarranaan,1
afarranaansho,1
afarrey,3
afarta,49
afartaa,6
afartamaad,1
afartambax,2
afartambixi,1
afartambixid,1
afartambixin,1
afartameeye,1
afartameeyo,1
afartan,6
afartanaad,1
afartanbax,3
afartanbixi,2
afartanbixid,3
afartanbixin,1
afartaneeye,2
afartanka,4
afarteeda,6
afarteydii,3
afartii,1
afartiisa,6
afartuu,1
afaruurtay,1
afayn,4
afays,1
afaysan,2
afaysasho,2
afaysnaan,1
afaysnaansho,1
afayso,1
afaysta,1
afbadan,1
afbadnaan,1
afbadnaansho,1
afbar,1
afbaro,1
afbax,2
afbeel,2
afbeelid,1
afbeeshay,1
afbilaabo,1
afbilaw,2
afbixid,2
afbuur,3
afbuurid,1
afbuuxine,1
afcaal,2
afceli,2
afcelin,1
afcelis,1
afceliye,2
afdaran,1
afdarnaan,4
afdarnaansho,1
afdarraan,1
afdarraansho,1
afdarro,1
afdhaaf,1
afdhabaandhab,2
afdhabaandhabid,2
afdhabaandhaw,1
afdhalow,1
afdhuubyaalayn,1
afdhuubyaale,1
afdoolin,1
afduub,3
afduuban,1
afduubayaa,3
afduubee,13
afduubid,3
afduubin,9
afduubka,1
afduubnaan,1
afduubnaansho,1
afee,1
afeed,3
afeedka,2
afeef,6
afeefad,1
afeefasho,2
afeefo,2
afeeftan,1
afeeyneeyso,1
afeeyo,5
afey,3
affadaa,3
affect,1
affur,3
affuran,4
affuri,2
affurid,3
affurin,1
affurnaan,5
affurnaansho,1
affursii,1
affursiin,1
afgammuur,3
afgammuuran,8
afgammuurid,2
afgammuurmid,2
afgammuurnaan,7
afgammuurnaansho,1
afgammuux,2
afgammuuxan,2
afgammuuxmid,1
afgammuuxnaan,1
afgammuuxnaansho,1
afgamuuran,2
afgamuurmid,2
afgamuuxan,2
afgamuuxmid,1
afgarad,12
afgaradka,3
afgaranaa,15
afgarasho,6
afgarata,7
afgaratoo,1
afgard,1
afgaro,8
afgarooc,2
afgaroocnimo,1
afgartay,1
afgarto,1
afgembi,2
afgembin,3
afgembiyid,4
afgobaadsad,1
afgobaadsan,5
afgobaadsasho,2
afgobaadsi,6
afgobaadsigii,3
afgobaadso,1
afgooye,5
afgooyee,1
afgooyey,1
afgooyiyo,3
afgorofow,1
afgoysaa,1
afgrasho,1
afhaye,1
afhayeen,1
afhayn,1
afiyo,1
afjaaq,1
afjig,1
afjuxuunsad,1
afjuxuunsasho,2
afjuxuunsi,1
afjuxuunso,1
afka,278
afkaa,9
afkaad,3
afkaagaba,1
afkaan,3
afkaar,4
afkaba,1
afkala,1
afkalahayn,1
afkalahays,1
afkalaqaad,1
afkalaqaadid,1
afkan,2
afkana,9
afkatoob,1
afkayama,3
afkayga,1
afkayguba,1
afkeeda,8
afkeedu,1
afkeenoo,3
afkeeygii,1
afkey,1
afkeyga,5
afkeygaad,3
afkeygaan,3
afkeygii,5
afkeygiyo,3
afkeygu,1
afkeyguna,3
afkii,13
afkiisa,24
afkiisu,1
afkiyo,3
afkooda,5
afkoodaan,1
afkoodii,1
afkoodiyo,1
afku,33
afkulleeble,1
afkuna,9
afkuxuuble,2
afkuyguba,1
aflaaan,1
aflaaansho,1
aflaam,1
aflaawe,1
aflagaaddo,4
aflagaado,7
aflaggaaddee,1
aflaggaaddo,1
aflax,2
aflaxa,1
aflaxaad,1
aflaxaay,1
afleehee,3
afleeyaan,1
aflixi,1
aflixid,2
aflixin,20
aflixis,1
afmaal,1
afmacaana,5
afmadow,1
afmeer,5
afmeeran,1
afmeerid,2
afmeernaan,1
afmeernaansho,1
afmeero,3
afmiinshaar,2
afmiinshaarayn,1
afmiinshaaree,1
afmiinshaarnimo,1
afmiishaar,1
afmiishaarayn,1
afmiishaaree,1
afmiishaarnimo,1
afnaq,2
afnaqaanee,11
afnaqid,1
afo,9
afqab,1
afqalaad,11
afqays,3
afqoys,1
afraad,5
afraax,1
africa,1
africaay,1
african,2
afrika,48
afrikaan,1
afrikaay,25
afrikaba,5
afrikada,2
afrikana,1
afrikay,1
afriki,9
afrog,2
afrogan,1
afrogid,3
afrognaan,1
afrognaansho,1
afruug,2
afruugid,1
afsaar,1
afsaartiisu,1
afshisheeye,3
afsoomaali,1
afsoomaaliga,25
afsoomaaligu,1
afsoomaligeygiyo,1
aftahan,3
aftahannimo,3
aftax,1
after,3
afti,7
aftin,1
aftir,1
aftiro,1
aftoolin,1
aftuur,2
aftuurid,1
afur,1
afura,5
afuran,1
afuri,2
afurid,1
afurin,1
afurkeenii,1
afurnaan,1
afursan,1
afursii,2
afursiin,1
afuuf,2
afuufa,1
afuufan,2
afuufay,2
afuufee,1
afuufid,1
afuufkuba,1
afuufnaan,1
afuufnaansho,1
afuufo,7
afuug,3
afuugid,3
afwaaji,1
afwebi,2
afweeyniyo,1
afweynta,1
afxir,3
afxiran,1
afxirid,1
afxirnaan,1
afxirnaansho,1
afxiro,1
afxumaan,4
afxumaansho,1
afxumada,1
afxumadiyo,1
afxumee,1
afxumi,1
afxumo,1
afxumow,1
afxun,2
afyar,2
afyuub,1
af‒soomaaliga,4
ag,57
aga,1
agaag,1
agaagaarka,9
agaagse,1
agaalli,1
agaasiman,2
agaasimay,3
agaasime,3
agaasimee,1
agaasimid,5
agaasimo,1
agaasin,2
agaasinka,1
agaasinnaan,1
agaasinnaansho,1
agabaray,1
agabbar,1
agabbarid,1
agabka,4
agabsad,1
agabsado,3
agabsasho,1
agabso,1
agag,1
agagaar,5
agagaarka,19
agagaarkiisa,1
agagaarkooda,3
agaggaar,1
agagse,2
agagsi,1
agahayga,1
agdhigayaa,1
agdhigayoo,1
agfuro,1
agjoog,1
agjoogaa,5
agjoogaaga,1
agjoogaagay,1
agjoogaayee,3
agjooji,1
agkeenaayo,1
aglool,2
agloolan,1
agloolay,1
agloolid,2
agloolnaan,1
agloolnaansho,1
agmar,1
agmaraye,1
agmari,1
agmeerayoo,1
agnamaarku,1
agoomee,1
agoomoobid,2
agoomow,4
agoon,5
agoonta,3
agoontoobid,1
agoontow,1
agoor,1
agoosto,1
agoow,1
agow,2
agtaa,1
agtaada,7
agtaadan,1
agtaadana,1
agtaadee,3
agtaadiyo,1
agtaadoo,1
agtaadoon,1
agtaaduu,1
agtaagaa,1
agtaal,3
agtaalaayo,3
agtaalaayoo,1
agtag,2
agtagayoo,3
agtago,1
agteeda,4
agteedaan,1
agteediyo,5
agteeyda,1
agteyda,15
agteydee,7
agteydiyo,1
agteydoo,15
agtiisa,10
agtiisaad,3
agtiisiyo,7
agtiisoo,3
agtiisood,5
agtisii,1
agtooda,8
agtoodee,1
agtoodiyo,5
aguug,2
aguugan,2
aguugay,1
aguugid,1
aguugnaan,1
aguugnaansho,1
agwaayee,3
agwaayine,1
agwareegoo,1
ah,8707
aha,63
ahaa,268
ahaaaaaaa,3
ahaada,5
ahaadaa,7
ahaadaan,2
ahaade,1
ahaadee,13
ahaadeen,14
ahaado,18
ahaan,632
ahaana,12
ahaanaa,1
ahaanba,5
ahaanbuu,1
ahaandoondaa,3
ahaane,9
ahaanee,5
ahaaneed,33
ahaaney,1
ahaaneyn,1
ahaanin,13
ahaanine,3
ahaaninee,7
ahaaniyo,7
ahaankareyso,3
ahaanna,7
ahaannaan,1
ahaanno,1
ahaano,21
ahaansho,2512
ahaantey,3
ahaantii,1
ahaantiisa,1
